Date,Money
21.1.2023,"73,06953201"
21.1.2023,"84,86737498"
21.1.2023,"83,48203355"
24.1.2023,"73,00998473"
25.1.2023,"9,799041975"
26.1.2023,"5,319511048"
27.1.2023,"62,43443501"
28.1.2023,"29,32095097"
29.1.2023,"27,38515481"
30.1.2023,"89,58346563"
30.1.2023,"68,16273625"
30.1.2023,"7,132297038"
2.2.2023,"1,338208858"
3.2.2023,"97,7739796"
4.2.2023,"10,37241806"
5.2.2023,"30,51455959"
6.2.2023,"91,68286194"
7.2.2023,"55,64141339"
8.2.2023,"88,6050306"
8.2.2023,"80,99291996"
8.2.2023,"30,3262392"
11.2.2023,"59,39797271"
12.2.2023,"72,85093012"
13.2.2023,"99,23320089"
14.2.2023,"33,0080518"
15.2.2023,"91,58602913"
18.2.2023,"11,40666587"
18.2.2023,"93,75539577"
18.2.2023,"39,61998807"